evidence_id,tracker_id,evidence_type,required_artifact_path,reviewer_role,approval_status,approval_date,comments
UIM-EVD-001,UIM-TRK-001,architecture-diagram,docs/UIM_UNIFIED_INVENTORY_SYSTEM_DESIGN.md,Architecture Board,Pending,,
UIM-EVD-002,UIM-TRK-003,screenshot-set,artifacts/mro/analysis/uim-ui-breakpoint-evidence/,UX Lead,Pending,,
UIM-EVD-003,UIM-TRK-004,performance-report,artifacts/mro/analysis/uim-performance-budget-report.json,Performance Engineer,Pending,,
UIM-EVD-004,UIM-TRK-005,authorization-test,artifacts/mro/analysis/uim-role-visibility-test-report.md,Security Lead,Pending,,
UIM-EVD-005,UIM-TRK-007,test-report,artifacts/mro/analysis/uim-validation-test-report.md,QA Lead,Pending,,
UIM-EVD-006,UIM-TRK-010,integration-log,artifacts/mro/analysis/uim-webhook-signature-test.log,Integration Lead,Pending,,
UIM-EVD-007,UIM-TRK-013,migration-file,supabase/migrations/*uim*.sql,DB Architect,Pending,,
UIM-EVD-008,UIM-TRK-015,load-test-report,artifacts/mro/analysis/uim-load-test-2000-users-report.md,Performance Lead,Pending,,
UIM-EVD-009,UIM-TRK-016,dr-report,artifacts/mro/analysis/uim-pitr-restore-drill-report.md,SRE Lead,Pending,,
UIM-EVD-010,UIM-TRK-020,dlq-test-report,artifacts/mro/analysis/uim-webhook-dlq-report.md,Integration Lead,Pending,,
UIM-EVD-011,UIM-TRK-021,compliance-matrix,artifacts/mro/analysis/uim-compliance-control-mapping.xlsx,Compliance Officer,Pending,,
UIM-EVD-012,UIM-TRK-023,a11y-report,artifacts/mro/analysis/uim-wcag22-aa-report.md,UX Accessibility Reviewer,Pending,,
UIM-EVD-013,UIM-TRK-025,coverage-report,coverage/uim/index.html,QA Lead,Pending,,
UIM-EVD-014,UIM-TRK-026,code-quality-report,artifacts/mro/analysis/uim-sonarqube-audit.md,Tech Lead,Pending,,
UIM-EVD-015,UIM-TRK-027,vulnerability-scan-report,artifacts/mro/analysis/uim-security-vuln-report.md,Security Officer,Pending,,
UIM-EVD-016,UIM-TRK-028,migration-reconciliation-report,artifacts/mro/analysis/uim-migration-reconciliation.md,Release Manager,Pending,,
UIM-EVD-017,UIM-TRK-029,rollback-drill-report,artifacts/mro/analysis/uim-rollback-drill.md,SRE Lead,Pending,,
UIM-EVD-018,UIM-TRK-030,operations-runbook,docs/runbooks/UIM_HYPERCARE_RUNBOOK.md,Support Manager,Pending,,
