tracker_id,section,criterion,owner_role,sprint,target_version,priority,status,evidence_link,notes
UIM-TRK-001,Module Structure,"Separate api/domain/application/infrastructure/ui layers implemented",Vimal Bahuguna (Tech Lead),Sprint 1,v0.1,High,In Progress,src/pages/api/v2/uim/health.ts | supabase/migrations/20260404143000_uim_core_schema_skeleton.sql,"Due 2026-04-10; phase-1 UIM v2 namespace scaffold started."
UIM-TRK-002,Module Structure,"Command/query split enforced and reviewed",Asha Menon (Backend Engineer),Sprint 2,v0.2,High,In Progress,src/pages/api/v2/uim/items/query.ts | src/pages/api/v2/uim/items/query.test.ts | src/pages/api/v2/uim/reservations/soft.ts | src/pages/api/v2/uim/reservations/[id]/status.ts | src/pages/api/v2/uim/reservations/soft.test.ts | src/pages/api/v2/uim/reservations/[id]/status.test.ts,"Due 2026-04-12; tenant-scoped query persistence plus reservation command lifecycle (active->fulfilled/cancelled) and ledger consistency tests implemented."
UIM-TRK-003,Responsive Layout,"Desktop/tablet/mobile layout spec implemented",Priya Nair (Frontend Engineer),Sprint 3,v0.4,High,In Progress,src/pages/api/v2/uim/reservations/soft.ts,"Due 2026-04-14; UX/api handshake started for reservation flow."
UIM-TRK-004,Responsive Layout,"FCP/TTI budgets met in perf audit",Rohan Kulkarni (Performance Engineer),Sprint 6,v0.9,High,In Progress,artifacts/mro/analysis/uim-ci-baseline-report.md | src/pages/api/v2/uim/reservations/soft.test.ts | src/pages/api/v2/uim/reservations/[id]/status.test.ts,"Due 2026-04-16; CI baseline updated with reservation lifecycle and ledger consistency test evidence."
UIM-TRK-005,Menu Entitlements,"Role visibility matrix enforced by route/menu guards",Frontend Engineer,Sprint 3,v0.4,High,Not Started,,
UIM-TRK-006,Navigation Model,"State + routing guard logic implemented and tested",Frontend Engineer,Sprint 3,v0.4,High,Not Started,,
UIM-TRK-007,Validation,"All command payloads validated via schema registry",Backend Engineer,Sprint 2,v0.2,High,In Progress,src/pages/api/v2/uim/reservations/_validation.ts | src/pages/api/v2/uim/reservations/soft.ts | src/pages/api/v2/uim/reservations/[id]/status.ts | src/pages/api/v2/uim/reservations/soft.test.ts | src/pages/api/v2/uim/reservations/[id]/status.test.ts,"Shared reservation payload validation added with deterministic 422 codes; extend same schema pattern to remaining UIM command endpoints."
UIM-TRK-008,Validation,"Disallowed state transitions return deterministic 422",Backend Engineer,Sprint 2,v0.2,High,In Progress,src/pages/api/v2/uim/reservations/[id]/status.ts | src/pages/api/v2/uim/reservations/[id]/status.test.ts,"Reservation lifecycle now returns deterministic 422 (`UIM_RESERVATION_INVALID_TRANSITION`) for non-active transitions with test coverage."
UIM-TRK-009,Security,"CSRF protection on browser write routes",Security Engineer,Sprint 2,v0.2,High,Not Started,,
UIM-TRK-010,Security,"Webhook HMAC signature verification implemented",Integration Engineer,Sprint 4,v0.6,High,Not Started,,
UIM-TRK-011,Security,"XSS output encoding and sanitization coverage",Frontend Engineer,Sprint 3,v0.4,High,Not Started,,
UIM-TRK-012,Security,"JWT signing-key rotation policy operationalized",Security Engineer,Sprint 6,v0.9,Medium,Not Started,,
UIM-TRK-013,Scalability,"Ledger partitioning strategy applied",DB Engineer,Sprint 2,v0.2,High,Not Started,,
UIM-TRK-014,Scalability,"Projection worker autoscaling implemented",SRE Engineer,Sprint 5,v0.8,High,Not Started,,
UIM-TRK-015,Scalability,"2,000 concurrent-user load test passed",Performance Engineer,Sprint 6,v0.9,High,Not Started,,
UIM-TRK-016,Backup/Recovery,"PITR enabled and validated",DB Engineer,Sprint 5,v0.8,High,Not Started,,
UIM-TRK-017,Backup/Recovery,"RPO<=15m and RTO<=60m drill evidence archived",SRE Engineer,Sprint 6,v0.9,High,Not Started,,
UIM-TRK-018,Integration,"REST contracts published and versioned",Backend Engineer,Sprint 4,v0.6,High,Not Started,,
UIM-TRK-019,Integration,"GraphQL schema and resolver coverage complete",Backend Engineer,Sprint 4,v0.6,Medium,Not Started,,
UIM-TRK-020,Integration,"Webhook retry + DLQ flow tested",Integration Engineer,Sprint 4,v0.6,High,Not Started,,
UIM-TRK-021,Compliance,"SOC2/GDPR control mapping completed",Compliance Lead,Sprint 6,v0.9,High,Not Started,,
UIM-TRK-022,Compliance,"Sensitive-field masking verified for non-admin roles",Security Engineer,Sprint 5,v0.8,High,Not Started,,
UIM-TRK-023,UX Standards,"WCAG 2.2 AA checks pass in CI",Frontend Engineer,Sprint 5,v0.8,High,Not Started,,
UIM-TRK-024,UX Standards,"Task success>=90% and recovery<=5s achieved",UX Researcher,Sprint 7,v1.0,High,Not Started,,
UIM-TRK-025,Quality Gates,"Code coverage >=80% for UIM services",QA Engineer,Sprint 5,v0.8,High,Not Started,,
UIM-TRK-026,Quality Gates,"SonarQube rating A maintained",Tech Lead,Sprint 6,v0.9,High,Not Started,,
UIM-TRK-027,Quality Gates,"Zero critical CVEs before go-live",Security Engineer,Sprint 6,v0.9,Critical,Not Started,,
UIM-TRK-028,Cut-over,"Migration dry run pass with reconciliation report",DB Engineer,Sprint 7,v1.0,High,Not Started,,
UIM-TRK-029,Cut-over,"Rollback drill pass and runbook signoff",SRE Engineer,Sprint 7,v1.0,High,Not Started,,
UIM-TRK-030,Cut-over,"Hyper-care 24x7 support matrix activated",Support Lead,Sprint 7,v1.0,High,Not Started,,
